Generation;BestFitness;AverageFitnessPopulation;BestMaxDistance;BestMaxDistanceTime;BestNumberOfWheels;BestCarMass;BestIsRoadComplete
1;1349,84777832031;275,50520077059;35,29891;12;13;353,5128;False
2;4048,19311523438;745,925707626343;64,60648;14,43507;14;356,1687;False
3;5261,23388671875;1094,66687469482;80,16903;15,88068;13;352,7717;False
4;3530,46240234375;1154,39330451488;63,30416;11,35097;10;384,0644;False
5;5306,79248046875;2207,90237426758;83,19823;14,34792;11;378,2082;False
6;7938,00927734375;2540,16822891235;95,99916;12,77074;11;378,2082;False
7;7948,9716796875;2715,37594361901;96,07042;12,77206;11;378,2082;False
8;8796,62890625;2951,79282531738;112,3906;15,79562;11;378,2082;False
9;7987,58447265625;2310,76075453758;101,9371;14,31006;11;378,2082;False
10;6213,3837890625;2914,07361469269;82,33005;12;11;378,2082;False
11;7183,1591796875;2430,45785522461;96,76779;14,33966;11;378,2082;False
12;7516,9580078125;2599,742710495;78,42345;9;11;378,2082;False
13;8830,8740234375;3410,74076690674;96,46112;11,59027;11;378,2082;False
14;8966,212890625;3615,58849716187;98,90057;12;11;378,4309;False
15;7044,36328125;2967,91689910889;98,00995;15;11;379,9601;False
16;5068,5224609375;2080,14187967777;89,21352;17,27319;11;377,5073;False
17;7355,41455078125;2663,7568359375;107,4995;17,28217;11;377,8589;False
18;6054,201171875;2739,50620641708;79,09908;11,36786;11;378,3974;False
19;15182,5068359375;3008,29658508301;138,8168;16,5;13;379,3649;False
20;7264,5146484375;2965,17672271729;89,3353;14,2818;13;378,9944;False
21;6099,701171875;2698,30078964233;74,4046;11,79871;13;378,9944;False
22;9018,298828125;3200,06931915283;96,10307;14,33765;14;384,7122;False
23;8478,8740234375;4002,37694134712;93,83488;13,5;13;380,1939;False
24;7806,61181640625;2870,0365436554;94,90853;15;13;379,696;False
25;11764,1142578125;3748,22776298523;119,7412;15,84424;13;379,6614;False
26;11542,8544921875;4431,045154953;129,0163;18,74646;13;379,9756;False
27;7733,3447265625;3481,74587554932;87,93944;12;12;379,7265;False
28;10078,470703125;4151,57729187012;111,3145;15,98279;13;382,2132;False
29;12497,5234375;4726,81173706055;107,4066;12;13;382,6575;False
30;7613,15966796875;4554,76875566393;100,4636;17,23438;13;381,7794;False
31;10788,51953125;3420,15353326798;109,2051;14,37036;13;381,5814;False
32;6905,15234375;3412,21128959656;78,39484;11,57031;13;381,5814;False
33;10342,22265625;3821,01097755432;103,634;13,5;13;380,5425;False
34;11117,609375;4219,45484390259;109,1408;15;14;381,5711;False
35;12989,0732421875;4354,83912296295;109,4985;12;13;380,1866;False
36;9597,1982421875;4668,71875;78,54697;9;14;382,3037;False
37;10664,9306640625;5630,50750684738;101,4103;13,5;14;381,6565;False
38;10073,5205078125;4627,6314491272;92,92172;12;14;379,283;False
39;16949,197265625;4651,61932605803;110,3437;10,05713;14;381,6113;False
40;10719,8984375;5559,75093383789;86,89208;9,860474;14;380,816;False
41;11291,4384765625;4072,43401412964;101,7685;12,84119;14;381,39;False
42;12272,8349609375;5868,03910827637;99,58788;11,31348;14;382,7941;False
43;9683,6357421875;5514,82557983398;99,51168;14,31653;14;382,7941;False
44;13523,7666015625;4727,38724101856;140,5077;20,43762;14;383,6079;False
45;8747,79296875;4571,23087921143;94,77399;14,375;14;379,7116;False
46;16846,654296875;5025,19999041557;127,4558;13,5;14;375,0499;False
47;8423,388671875;4304,10182628632;87,9316;12,85083;14;379,7614;False
48;7966,01513671875;4806,92608032227;80,40019;11,3606;14;382,0554;False
49;15816,1806640625;4970,64592781067;139,9953;17,34814;14;378,9011;False
50;12786,0517578125;4980,58730926514;112,8714;12,95313;13;378,2831;False
